,state_name,date,pecent_yoy_change
0,Alabama,2020-02-18,-14
1,Alabama,2020-02-19,7
2,Alabama,2020-02-20,1
3,Alabama,2020-02-21,-2
4,Alabama,2020-02-22,8
5,Alabama,2020-02-23,2
6,Alabama,2020-02-24,1
7,Alabama,2020-02-25,0
8,Alabama,2020-02-26,-8
9,Alabama,2020-02-27,-3
10,Alabama,2020-02-28,-3
11,Alabama,2020-02-29,-11
12,Alabama,2020-03-01,2
13,Alabama,2020-03-02,-32
14,Alabama,2020-03-03,-29
15,Alabama,2020-03-04,-23
16,Alabama,2020-03-05,-15
17,Alabama,2020-03-06,-3
18,Alabama,2020-03-07,11
19,Alabama,2020-03-08,-10
20,Alabama,2020-03-09,-11
21,Alabama,2020-03-10,-26
22,Alabama,2020-03-11,-8
23,Alabama,2020-03-12,-2
24,Alabama,2020-03-13,-24
25,Alabama,2020-03-14,-28
26,Alabama,2020-03-15,-38
27,Alabama,2020-03-16,-57
28,Alabama,2020-03-17,-74
29,Alabama,2020-03-18,-78
30,Alabama,2020-03-19,-97
31,Alabama,2020-03-20,-100
32,Alabama,2020-03-21,-100
33,Alabama,2020-03-22,-100
34,Alabama,2020-03-23,-100
35,Alabama,2020-03-24,-100
36,Alabama,2020-03-25,-100
37,Alabama,2020-03-26,-100
38,Alabama,2020-03-27,-100
39,Alabama,2020-03-28,-100
40,Alabama,2020-03-29,-100
41,Alabama,2020-03-30,-100
42,Alabama,2020-03-31,-100
43,Alabama,2020-04-01,-100
44,Alabama,2020-04-02,-100
45,Alabama,2020-04-03,-100
46,Alabama,2020-04-04,-100
47,Alabama,2020-04-05,-100
48,Alabama,2020-04-06,-100
49,Alabama,2020-04-07,-100
50,Alabama,2020-04-08,-100
51,Alabama,2020-04-09,-100
52,Alabama,2020-04-10,-100
53,Alabama,2020-04-11,-100
54,Alabama,2020-04-12,-100
55,Alabama,2020-04-13,-100
56,Alabama,2020-04-14,-100
57,Alabama,2020-04-15,-100
58,Alabama,2020-04-16,-100
59,Alabama,2020-04-17,-100
60,Alabama,2020-04-18,-100
61,Alabama,2020-04-19,-100
62,Alabama,2020-04-20,-100
63,Alabama,2020-04-21,-100
64,Alabama,2020-04-22,-100
65,Alabama,2020-04-23,-100
66,Alabama,2020-04-24,-100
67,Alabama,2020-04-25,-100
68,Alabama,2020-04-26,-100
69,Alabama,2020-04-27,-100
70,Arizona,2020-02-18,0
71,Arizona,2020-02-19,1
72,Arizona,2020-02-20,8
73,Arizona,2020-02-21,4
74,Arizona,2020-02-22,-3
75,Arizona,2020-02-23,5
76,Arizona,2020-02-24,2
77,Arizona,2020-02-25,5
78,Arizona,2020-02-26,1
79,Arizona,2020-02-27,3
80,Arizona,2020-02-28,2
81,Arizona,2020-02-29,1
82,Arizona,2020-03-01,-2
83,Arizona,2020-03-02,-7
84,Arizona,2020-03-03,-10
85,Arizona,2020-03-04,0
86,Arizona,2020-03-05,-4
87,Arizona,2020-03-06,-3
88,Arizona,2020-03-07,-2
89,Arizona,2020-03-08,-3
90,Arizona,2020-03-09,-7
91,Arizona,2020-03-10,-14
92,Arizona,2020-03-11,-20
93,Arizona,2020-03-12,-18
94,Arizona,2020-03-13,-26
95,Arizona,2020-03-14,-24
96,Arizona,2020-03-15,-37
97,Arizona,2020-03-16,-54
98,Arizona,2020-03-17,-77
99,Arizona,2020-03-18,-93
100,Arizona,2020-03-19,-96
101,Arizona,2020-03-20,-98
102,Arizona,2020-03-21,-100
103,Arizona,2020-03-22,-100
104,Arizona,2020-03-23,-100
105,Arizona,2020-03-24,-100
106,Arizona,2020-03-25,-100
107,Arizona,2020-03-26,-100
108,Arizona,2020-03-27,-100
109,Arizona,2020-03-28,-100
110,Arizona,2020-03-29,-100
111,Arizona,2020-03-30,-100
112,Arizona,2020-03-31,-100
113,Arizona,2020-04-01,-100
114,Arizona,2020-04-02,-100
115,Arizona,2020-04-03,-100
116,Arizona,2020-04-04,-100
117,Arizona,2020-04-05,-100
118,Arizona,2020-04-06,-100
119,Arizona,2020-04-07,-100
120,Arizona,2020-04-08,-100
121,Arizona,2020-04-09,-100
122,Arizona,2020-04-10,-100
123,Arizona,2020-04-11,-100
124,Arizona,2020-04-12,-100
125,Arizona,2020-04-13,-100
126,Arizona,2020-04-14,-100
127,Arizona,2020-04-15,-100
128,Arizona,2020-04-16,-100
129,Arizona,2020-04-17,-100
130,Arizona,2020-04-18,-100
131,Arizona,2020-04-19,-100
132,Arizona,2020-04-20,-100
133,Arizona,2020-04-21,-100
134,Arizona,2020-04-22,-100
135,Arizona,2020-04-23,-100
136,Arizona,2020-04-24,-100
137,Arizona,2020-04-25,-100
138,Arizona,2020-04-26,-100
139,Arizona,2020-04-27,-100
140,California,2020-02-18,-2
141,California,2020-02-19,2
142,California,2020-02-20,5
143,California,2020-02-21,0
144,California,2020-02-22,-2
145,California,2020-02-23,7
146,California,2020-02-24,3
147,California,2020-02-25,6
148,California,2020-02-26,4
149,California,2020-02-27,3
150,California,2020-02-28,5
151,California,2020-02-29,9
152,California,2020-03-01,-3
153,California,2020-03-02,-6
154,California,2020-03-03,-4
155,California,2020-03-04,-3
156,California,2020-03-05,-10
157,California,2020-03-06,-8
158,California,2020-03-07,-5
159,California,2020-03-08,-5
160,California,2020-03-09,-18
161,California,2020-03-10,-27
162,California,2020-03-11,-23
163,California,2020-03-12,-38
164,California,2020-03-13,-42
165,California,2020-03-14,-47
166,California,2020-03-15,-55
167,California,2020-03-16,-70
168,California,2020-03-17,-96
169,California,2020-03-18,-99
170,California,2020-03-19,-100
171,California,2020-03-20,-100
172,California,2020-03-21,-100
173,California,2020-03-22,-100
174,California,2020-03-23,-100
175,California,2020-03-24,-100
176,California,2020-03-25,-100
177,California,2020-03-26,-100
178,California,2020-03-27,-100
179,California,2020-03-28,-100
180,California,2020-03-29,-100
181,California,2020-03-30,-100
182,California,2020-03-31,-100
183,California,2020-04-01,-100
184,California,2020-04-02,-100
185,California,2020-04-03,-100
186,California,2020-04-04,-100
187,California,2020-04-05,-100
188,California,2020-04-06,-100
189,California,2020-04-07,-100
190,California,2020-04-08,-100
191,California,2020-04-09,-100
192,California,2020-04-10,-100
193,California,2020-04-11,-100
194,California,2020-04-12,-100
195,California,2020-04-13,-100
196,California,2020-04-14,-100
197,California,2020-04-15,-100
198,California,2020-04-16,-100
199,California,2020-04-17,-100
200,California,2020-04-18,-100
201,California,2020-04-19,-100
202,California,2020-04-20,-100
203,California,2020-04-21,-100
204,California,2020-04-22,-100
205,California,2020-04-23,-100
206,California,2020-04-24,-100
207,California,2020-04-25,-100
208,California,2020-04-26,-100
209,California,2020-04-27,-100
210,Colorado,2020-02-18,1
211,Colorado,2020-02-19,-8
212,Colorado,2020-02-20,-4
213,Colorado,2020-02-21,7
214,Colorado,2020-02-22,1
215,Colorado,2020-02-23,-8
216,Colorado,2020-02-24,-2
217,Colorado,2020-02-25,-4
218,Colorado,2020-02-26,-1
219,Colorado,2020-02-27,-2
220,Colorado,2020-02-28,0
221,Colorado,2020-02-29,22
222,Colorado,2020-03-01,26
223,Colorado,2020-03-02,-1
224,Colorado,2020-03-03,-6
225,Colorado,2020-03-04,-6
226,Colorado,2020-03-05,-4
227,Colorado,2020-03-06,-8
228,Colorado,2020-03-07,-10
229,Colorado,2020-03-08,-6
230,Colorado,2020-03-09,-13
231,Colorado,2020-03-10,-17
232,Colorado,2020-03-11,-8
233,Colorado,2020-03-12,-17
234,Colorado,2020-03-13,-41
235,Colorado,2020-03-14,-45
236,Colorado,2020-03-15,-52
237,Colorado,2020-03-16,-66
238,Colorado,2020-03-17,-98
239,Colorado,2020-03-18,-100
240,Colorado,2020-03-19,-100
241,Colorado,2020-03-20,-100
242,Colorado,2020-03-21,-100
243,Colorado,2020-03-22,-100
244,Colorado,2020-03-23,-100
245,Colorado,2020-03-24,-100
246,Colorado,2020-03-25,-100
247,Colorado,2020-03-26,-100
248,Colorado,2020-03-27,-100
249,Colorado,2020-03-28,-100
250,Colorado,2020-03-29,-100
251,Colorado,2020-03-30,-100
252,Colorado,2020-03-31,-100
253,Colorado,2020-04-01,-100
254,Colorado,2020-04-02,-100
255,Colorado,2020-04-03,-100
256,Colorado,2020-04-04,-100
257,Colorado,2020-04-05,-100
258,Colorado,2020-04-06,-100
259,Colorado,2020-04-07,-100
260,Colorado,2020-04-08,-100
261,Colorado,2020-04-09,-100
262,Colorado,2020-04-10,-100
263,Colorado,2020-04-11,-100
264,Colorado,2020-04-12,-100
265,Colorado,2020-04-13,-100
266,Colorado,2020-04-14,-100
267,Colorado,2020-04-15,-100
268,Colorado,2020-04-16,-100
269,Colorado,2020-04-17,-100
270,Colorado,2020-04-18,-100
271,Colorado,2020-04-19,-100
272,Colorado,2020-04-20,-100
273,Colorado,2020-04-21,-100
274,Colorado,2020-04-22,-100
275,Colorado,2020-04-23,-100
276,Colorado,2020-04-24,-100
277,Colorado,2020-04-25,-100
278,Colorado,2020-04-26,-100
279,Colorado,2020-04-27,-100
280,Connecticut,2020-02-18,8
281,Connecticut,2020-02-19,26
282,Connecticut,2020-02-20,1
283,Connecticut,2020-02-21,-3
284,Connecticut,2020-02-22,-6
285,Connecticut,2020-02-23,2
286,Connecticut,2020-02-24,-2
287,Connecticut,2020-02-25,6
288,Connecticut,2020-02-26,9
289,Connecticut,2020-02-27,-8
290,Connecticut,2020-02-28,-1
291,Connecticut,2020-02-29,4
292,Connecticut,2020-03-01,13
293,Connecticut,2020-03-02,13
294,Connecticut,2020-03-03,-9
295,Connecticut,2020-03-04,-6
296,Connecticut,2020-03-05,-7
297,Connecticut,2020-03-06,-8
298,Connecticut,2020-03-07,-8
299,Connecticut,2020-03-08,0
300,Connecticut,2020-03-09,-12
301,Connecticut,2020-03-10,-20
302,Connecticut,2020-03-11,-20
303,Connecticut,2020-03-12,-43
304,Connecticut,2020-03-13,-50
305,Connecticut,2020-03-14,-58
306,Connecticut,2020-03-15,-57
307,Connecticut,2020-03-16,-55
308,Connecticut,2020-03-17,-100
309,Connecticut,2020-03-18,-100
310,Connecticut,2020-03-19,-100
311,Connecticut,2020-03-20,-100
312,Connecticut,2020-03-21,-100
313,Connecticut,2020-03-22,-100
314,Connecticut,2020-03-23,-100
315,Connecticut,2020-03-24,-100
316,Connecticut,2020-03-25,-100
317,Connecticut,2020-03-26,-100
318,Connecticut,2020-03-27,-100
319,Connecticut,2020-03-28,-100
320,Connecticut,2020-03-29,-100
321,Connecticut,2020-03-30,-100
322,Connecticut,2020-03-31,-100
323,Connecticut,2020-04-01,-100
324,Connecticut,2020-04-02,-100
325,Connecticut,2020-04-03,-100
326,Connecticut,2020-04-04,-100
327,Connecticut,2020-04-05,-100
328,Connecticut,2020-04-06,-100
329,Connecticut,2020-04-07,-100
330,Connecticut,2020-04-08,-100
331,Connecticut,2020-04-09,-100
332,Connecticut,2020-04-10,-100
333,Connecticut,2020-04-11,-100
334,Connecticut,2020-04-12,-100
335,Connecticut,2020-04-13,-100
336,Connecticut,2020-04-14,-100
337,Connecticut,2020-04-15,-100
338,Connecticut,2020-04-16,-100
339,Connecticut,2020-04-17,-100
340,Connecticut,2020-04-18,-100
341,Connecticut,2020-04-19,-100
342,Connecticut,2020-04-20,-100
343,Connecticut,2020-04-21,-100
344,Connecticut,2020-04-22,-100
345,Connecticut,2020-04-23,-100
346,Connecticut,2020-04-24,-100
347,Connecticut,2020-04-25,-100
348,Connecticut,2020-04-26,-100
349,Connecticut,2020-04-27,-100
350,Florida,2020-02-18,0
351,Florida,2020-02-19,-3
352,Florida,2020-02-20,-4
353,Florida,2020-02-21,-5
354,Florida,2020-02-22,2
355,Florida,2020-02-23,2
356,Florida,2020-02-24,2
357,Florida,2020-02-25,5
358,Florida,2020-02-26,3
359,Florida,2020-02-27,4
360,Florida,2020-02-28,2
361,Florida,2020-02-29,0
362,Florida,2020-03-01,-5
363,Florida,2020-03-02,-10
364,Florida,2020-03-03,-10
365,Florida,2020-03-04,-8
366,Florida,2020-03-05,-7
367,Florida,2020-03-06,-5
368,Florida,2020-03-07,-2
369,Florida,2020-03-08,-5
370,Florida,2020-03-09,-18
371,Florida,2020-03-10,-18
372,Florida,2020-03-11,-18
373,Florida,2020-03-12,-23
374,Florida,2020-03-13,-28
375,Florida,2020-03-14,-31
376,Florida,2020-03-15,-38
377,Florida,2020-03-16,-47
378,Florida,2020-03-17,-76
379,Florida,2020-03-18,-84
380,Florida,2020-03-19,-90
381,Florida,2020-03-20,-97
382,Florida,2020-03-21,-100
383,Florida,2020-03-22,-100
384,Florida,2020-03-23,-100
385,Florida,2020-03-24,-100
386,Florida,2020-03-25,-100
387,Florida,2020-03-26,-100
388,Florida,2020-03-27,-100
389,Florida,2020-03-28,-100
390,Florida,2020-03-29,-100
391,Florida,2020-03-30,-100
392,Florida,2020-03-31,-100
393,Florida,2020-04-01,-100
394,Florida,2020-04-02,-100
395,Florida,2020-04-03,-100
396,Florida,2020-04-04,-100
397,Florida,2020-04-05,-100
398,Florida,2020-04-06,-100
399,Florida,2020-04-07,-100
400,Florida,2020-04-08,-100
401,Florida,2020-04-09,-100
402,Florida,2020-04-10,-100
403,Florida,2020-04-11,-100
404,Florida,2020-04-12,-100
405,Florida,2020-04-13,-100
406,Florida,2020-04-14,-100
407,Florida,2020-04-15,-100
408,Florida,2020-04-16,-100
409,Florida,2020-04-17,-100
410,Florida,2020-04-18,-100
411,Florida,2020-04-19,-100
412,Florida,2020-04-20,-100
413,Florida,2020-04-21,-100
414,Florida,2020-04-22,-100
415,Florida,2020-04-23,-100
416,Florida,2020-04-24,-100
417,Florida,2020-04-25,-100
418,Florida,2020-04-26,-100
419,Florida,2020-04-27,-100
420,Georgia,2020-02-18,0
421,Georgia,2020-02-19,4
422,Georgia,2020-02-20,-6
423,Georgia,2020-02-21,-5
424,Georgia,2020-02-22,-2
425,Georgia,2020-02-23,-9
426,Georgia,2020-02-24,-9
427,Georgia,2020-02-25,2
428,Georgia,2020-02-26,-4
429,Georgia,2020-02-27,-4
430,Georgia,2020-02-28,2
431,Georgia,2020-02-29,-3
432,Georgia,2020-03-01,8
433,Georgia,2020-03-02,-12
434,Georgia,2020-03-03,-21
435,Georgia,2020-03-04,-17
436,Georgia,2020-03-05,-12
437,Georgia,2020-03-06,-3
438,Georgia,2020-03-07,-2
439,Georgia,2020-03-08,7
440,Georgia,2020-03-09,-4
441,Georgia,2020-03-10,-15
442,Georgia,2020-03-11,-17
443,Georgia,2020-03-12,-23
444,Georgia,2020-03-13,-34
445,Georgia,2020-03-14,-36
446,Georgia,2020-03-15,-47
447,Georgia,2020-03-16,-66
448,Georgia,2020-03-17,-88
449,Georgia,2020-03-18,-93
450,Georgia,2020-03-19,-95
451,Georgia,2020-03-20,-98
452,Georgia,2020-03-21,-99
453,Georgia,2020-03-22,-100
454,Georgia,2020-03-23,-100
455,Georgia,2020-03-24,-100
456,Georgia,2020-03-25,-100
457,Georgia,2020-03-26,-100
458,Georgia,2020-03-27,-100
459,Georgia,2020-03-28,-100
460,Georgia,2020-03-29,-100
461,Georgia,2020-03-30,-100
462,Georgia,2020-03-31,-100
463,Georgia,2020-04-01,-100
464,Georgia,2020-04-02,-100
465,Georgia,2020-04-03,-100
466,Georgia,2020-04-04,-100
467,Georgia,2020-04-05,-100
468,Georgia,2020-04-06,-100
469,Georgia,2020-04-07,-100
470,Georgia,2020-04-08,-100
471,Georgia,2020-04-09,-100
472,Georgia,2020-04-10,-100
473,Georgia,2020-04-11,-100
474,Georgia,2020-04-12,-100
475,Georgia,2020-04-13,-100
476,Georgia,2020-04-14,-100
477,Georgia,2020-04-15,-100
478,Georgia,2020-04-16,-100
479,Georgia,2020-04-17,-100
480,Georgia,2020-04-18,-100
481,Georgia,2020-04-19,-100
482,Georgia,2020-04-20,-100
483,Georgia,2020-04-21,-100
484,Georgia,2020-04-22,-100
485,Georgia,2020-04-23,-100
486,Georgia,2020-04-24,-100
487,Georgia,2020-04-25,-100
488,Georgia,2020-04-26,-100
489,Georgia,2020-04-27,-98
490,Hawaii,2020-02-18,0
491,Hawaii,2020-02-19,2
492,Hawaii,2020-02-20,4
493,Hawaii,2020-02-21,5
494,Hawaii,2020-02-22,4
495,Hawaii,2020-02-23,3
496,Hawaii,2020-02-24,2
497,Hawaii,2020-02-25,-1
498,Hawaii,2020-02-26,9
499,Hawaii,2020-02-27,6
500,Hawaii,2020-02-28,4
501,Hawaii,2020-02-29,-2
502,Hawaii,2020-03-01,-2
503,Hawaii,2020-03-02,-2
504,Hawaii,2020-03-03,-5
505,Hawaii,2020-03-04,-4
506,Hawaii,2020-03-05,-5
507,Hawaii,2020-03-06,-8
508,Hawaii,2020-03-07,-6
509,Hawaii,2020-03-08,-9
510,Hawaii,2020-03-09,-8
511,Hawaii,2020-03-10,-10
512,Hawaii,2020-03-11,-11
513,Hawaii,2020-03-12,-15
514,Hawaii,2020-03-13,-14
515,Hawaii,2020-03-14,-19
516,Hawaii,2020-03-15,-26
517,Hawaii,2020-03-16,-31
518,Hawaii,2020-03-17,-47
519,Hawaii,2020-03-18,-71
520,Hawaii,2020-03-19,-83
521,Hawaii,2020-03-20,-97
522,Hawaii,2020-03-21,-99
523,Hawaii,2020-03-22,-99
524,Hawaii,2020-03-23,-100
525,Hawaii,2020-03-24,-100
526,Hawaii,2020-03-25,-100
527,Hawaii,2020-03-26,-100
528,Hawaii,2020-03-27,-100
529,Hawaii,2020-03-28,-100
530,Hawaii,2020-03-29,-100
531,Hawaii,2020-03-30,-100
532,Hawaii,2020-03-31,-100
533,Hawaii,2020-04-01,-100
534,Hawaii,2020-04-02,-100
535,Hawaii,2020-04-03,-100
536,Hawaii,2020-04-04,-100
537,Hawaii,2020-04-05,-100
538,Hawaii,2020-04-06,-100
539,Hawaii,2020-04-07,-100
540,Hawaii,2020-04-08,-100
541,Hawaii,2020-04-09,-100
542,Hawaii,2020-04-10,-100
543,Hawaii,2020-04-11,-100
544,Hawaii,2020-04-12,-100
545,Hawaii,2020-04-13,-100
546,Hawaii,2020-04-14,-100
547,Hawaii,2020-04-15,-100
548,Hawaii,2020-04-16,-100
549,Hawaii,2020-04-17,-100
550,Hawaii,2020-04-18,-100
551,Hawaii,2020-04-19,-100
552,Hawaii,2020-04-20,-100
553,Hawaii,2020-04-21,-100
554,Hawaii,2020-04-22,-100
555,Hawaii,2020-04-23,-100
556,Hawaii,2020-04-24,-100
557,Hawaii,2020-04-25,-100
558,Hawaii,2020-04-26,-100
559,Hawaii,2020-04-27,-100
560,Illinois,2020-02-18,-4
561,Illinois,2020-02-19,4
562,Illinois,2020-02-20,-2
563,Illinois,2020-02-21,-3
564,Illinois,2020-02-22,6
565,Illinois,2020-02-23,11
566,Illinois,2020-02-24,-5
567,Illinois,2020-02-25,-14
568,Illinois,2020-02-26,-14
569,Illinois,2020-02-27,-9
570,Illinois,2020-02-28,-6
571,Illinois,2020-02-29,0
572,Illinois,2020-03-01,2
573,Illinois,2020-03-02,-13
574,Illinois,2020-03-03,-12
575,Illinois,2020-03-04,-3
576,Illinois,2020-03-05,-5
577,Illinois,2020-03-06,-7
578,Illinois,2020-03-07,4
579,Illinois,2020-03-08,4
580,Illinois,2020-03-09,-21
581,Illinois,2020-03-10,-18
582,Illinois,2020-03-11,-22
583,Illinois,2020-03-12,-26
584,Illinois,2020-03-13,-35
585,Illinois,2020-03-14,-47
586,Illinois,2020-03-15,-51
587,Illinois,2020-03-16,-61
588,Illinois,2020-03-17,-100
589,Illinois,2020-03-18,-100
590,Illinois,2020-03-19,-100
591,Illinois,2020-03-20,-100
592,Illinois,2020-03-21,-100
593,Illinois,2020-03-22,-100
594,Illinois,2020-03-23,-100
595,Illinois,2020-03-24,-100
596,Illinois,2020-03-25,-100
597,Illinois,2020-03-26,-100
598,Illinois,2020-03-27,-100
599,Illinois,2020-03-28,-100
600,Illinois,2020-03-29,-100
601,Illinois,2020-03-30,-100
602,Illinois,2020-03-31,-100
603,Illinois,2020-04-01,-100
604,Illinois,2020-04-02,-100
605,Illinois,2020-04-03,-100
606,Illinois,2020-04-04,-100
607,Illinois,2020-04-05,-100
608,Illinois,2020-04-06,-100
609,Illinois,2020-04-07,-100
610,Illinois,2020-04-08,-100
611,Illinois,2020-04-09,-100
612,Illinois,2020-04-10,-100
613,Illinois,2020-04-11,-100
614,Illinois,2020-04-12,-100
615,Illinois,2020-04-13,-100
616,Illinois,2020-04-14,-100
617,Illinois,2020-04-15,-100
618,Illinois,2020-04-16,-100
619,Illinois,2020-04-17,-100
620,Illinois,2020-04-18,-100
621,Illinois,2020-04-19,-100
622,Illinois,2020-04-20,-100
623,Illinois,2020-04-21,-100
624,Illinois,2020-04-22,-100
625,Illinois,2020-04-23,-100
626,Illinois,2020-04-24,-100
627,Illinois,2020-04-25,-100
628,Illinois,2020-04-26,-100
629,Illinois,2020-04-27,-100
630,Indiana,2020-02-18,21
631,Indiana,2020-02-19,13
632,Indiana,2020-02-20,-15
633,Indiana,2020-02-21,-8
634,Indiana,2020-02-22,3
635,Indiana,2020-02-23,13
636,Indiana,2020-02-24,6
637,Indiana,2020-02-25,3
638,Indiana,2020-02-26,-5
639,Indiana,2020-02-27,-8
640,Indiana,2020-02-28,-1
641,Indiana,2020-02-29,4
642,Indiana,2020-03-01,18
643,Indiana,2020-03-02,1
644,Indiana,2020-03-03,-3
645,Indiana,2020-03-04,3
646,Indiana,2020-03-05,5
647,Indiana,2020-03-06,1
648,Indiana,2020-03-07,4
649,Indiana,2020-03-08,4
650,Indiana,2020-03-09,-17
651,Indiana,2020-03-10,-11
652,Indiana,2020-03-11,-16
653,Indiana,2020-03-12,-29
654,Indiana,2020-03-13,-34
655,Indiana,2020-03-14,-48
656,Indiana,2020-03-15,-51
657,Indiana,2020-03-16,-67
658,Indiana,2020-03-17,-96
659,Indiana,2020-03-18,-97
